Country Code,Statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008
SUR,Female,12.17,11.92,11.75,11.85,11.82,11.44,11.31,11.91,11.99
SUR,Male,37.74,39.63,39.48,40.9,41.48,41.18,41.82,41.9,42.57
SVK,Female,4.05,4.07,3.84,3.75,3.66,3.51,3.31,3.39,3.21
SVK,Male,23.0,22.5,22.66,22.24,20.85,20.93,20.15,20.33,20.97
SVN,Female,11.04,10.23,9.72,9.9,9.96,8.75,7.72,7.42,6.78
SVN,Male,41.31,41.87,40.27,39.99,36.45,34.17,34.89,33.01,31.12
SWE,Male,18.49,18.59,18.0,17.49,18.06,17.45,17.32,17.42,17.41
SWE,Female,7.54,7.26,7.18,7.35,7.56,7.27,7.1,6.93,7.01
SWZ,Male,47.11,49.76,51.52,52.94,53.43,53.43,52.94,52.57,52.63
SWZ,Female,8.88,9.43,10.24,10.41,10.61,10.82,10.45,10.22,10.2
SYC,Male,17.01,16.54,16.03,15.6,15.0,14.3,13.78,13.51,13.29
SYC,Female,2.34,2.34,2.38,2.42,2.42,2.43,2.43,2.39,2.34
SYR,Female,1.28,1.2,1.16,1.09,1.09,1.07,1.06,1.04,1.08
SYR,Male,5.16,4.95,4.87,4.62,4.68,4.71,4.61,4.65,4.78
TCD,Male,14.82,15.0,15.02,15.2,15.02,14.79,14.61,14.72,14.74
TCD,Female,8.57,8.64,8.68,8.79,8.71,8.62,8.52,8.54,8.55
TGO,Female,6.78,6.66,6.55,6.46,6.24,6.14,6.02,6.0,5.98
TGO,Male,20.54,20.84,20.97,21.45,21.35,21.45,21.52,21.57,21.91
THA,Male,24.34,22.79,22.34,21.5,19.5,17.87,17.45,17.03,16.82
THA,Female,9.66,8.62,8.28,7.4,6.58,5.79,5.65,5.48,5.29
TJK,Female,2.47,2.59,2.52,2.55,2.57,2.63,2.63,2.63,2.65
TJK,Male,6.85,6.6,6.66,6.69,6.83,7.19,7.39,7.6,7.73
TKM,Male,18.83,19.02,19.57,19.83,20.67,21.48,20.87,19.47,17.79
TKM,Female,4.27,4.39,4.6,4.81,5.13,5.42,5.49,5.16,4.76
TLS,Female,6.34,5.93,5.6,5.43,5.25,5.06,4.83,4.66,4.52
TLS,Male,11.58,11.23,11.04,11.06,10.98,10.76,10.48,10.33,10.21
TON,Female,4.62,4.51,4.51,4.43,4.31,4.25,4.18,4.15,4.06
TON,Male,6.97,7.1,7.37,7.52,7.63,7.68,7.74,7.83,7.81
TTO,Female,4.99,4.75,4.31,4.43,4.47,4.23,4.08,4.07,4.35
TTO,Male,20.81,20.49,20.23,19.77,19.94,19.54,18.45,18.88,20.65
TUN,Male,5.19,5.18,5.18,5.17,5.14,5.13,5.11,5.08,5.03
TUN,Female,2.16,2.12,2.08,2.04,1.99,1.95,1.91,1.87,1.83
TUR,Female,1.72,1.63,1.58,1.62,1.62,1.63,1.61,1.57,1.54
TUR,Male,5.22,4.97,4.65,4.6,4.56,4.64,4.64,4.57,4.56
TWN,Female,9.57,10.08,10.23,10.75,11.1,11.7,11.33,11.12,10.61
TWN,Male,18.12,19.53,20.47,21.42,22.97,24.73,24.69,23.47,22.68
TZA,Female,5.04,4.77,4.54,4.42,4.26,4.13,4.03,3.97,3.9
TZA,Male,15.5,15.14,14.65,14.3,13.94,14.0,14.02,14.11,14.12
UGA,Male,16.43,16.8,16.88,16.88,16.91,16.87,16.86,16.83,16.68
UGA,Female,19.73,19.27,18.54,17.7,16.9,16.01,14.72,13.53,12.38
UKR,Female,8.69,8.1,7.93,7.66,7.53,7.34,6.85,7.08,7.1
UKR,Male,54.61,51.98,51.02,48.92,48.99,48.55,45.4,47.38,46.57
URY,Female,6.28,6.51,6.83,6.92,6.94,6.96,6.8,7.18,6.92
URY,Male,28.34,27.47,29.14,27.84,27.32,26.77,26.64,28.14,26.8
USA,Female,4.48,4.64,4.77,4.88,4.9,5.02,5.14,5.18,5.26
USA,Male,17.87,18.03,18.32,18.32,18.05,18.42,18.53,18.57,18.65
UZB,Female,4.99,5.1,5.15,5.18,5.35,5.49,5.28,5.16,5.0
UZB,Male,17.18,17.06,16.66,16.39,16.82,17.18,16.25,15.7,15.07
VCT,Female,2.01,1.86,1.72,1.6,1.57,1.51,1.48,1.46,1.5
VCT,Male,12.63,12.94,12.72,12.62,12.36,12.01,11.71,11.49,11.46
VEN,Female,2.51,2.53,2.77,2.67,2.42,2.32,2.23,2.16,2.17
VEN,Male,18.1,18.25,17.53,17.56,15.62,14.67,15.09,15.45,15.73
VNM,Female,6.0,5.86,5.73,5.62,5.51,5.39,5.28,5.17,5.06
VNM,Male,11.69,11.53,11.44,11.41,11.37,11.3,11.2,11.08,11.01
VUT,Male,29.52,29.32,29.25,29.13,29.02,28.92,28.75,28.72,28.62
VUT,Female,8.87,8.75,8.66,8.52,8.38,8.3,8.21,8.17,8.07
WSM,Female,6.05,5.91,5.78,5.69,5.6,5.53,5.38,5.29,5.26
WSM,Male,19.1,18.61,18.16,17.72,17.31,16.91,16.63,16.23,15.8
YEM,Female,4.92,4.81,4.72,4.61,4.51,4.41,4.34,4.28,4.22
YEM,Male,8.71,8.71,8.73,8.69,8.64,8.56,8.48,8.4,8.37
ZAF,Female,13.2,12.76,13.27,13.64,13.45,12.67,11.74,10.48,9.42
ZAF,Male,37.14,35.0,34.69,34.36,33.29,32.02,31.07,29.35,27.72
ZMB,Female,7.61,6.99,6.42,5.98,5.52,5.16,4.99,4.85,4.9
ZMB,Male,25.86,25.2,24.64,24.28,23.82,23.55,23.29,22.79,22.67
ZWE,Male,47.58,49.84,52.99,53.35,54.13,54.53,54.35,53.89,53.25
ZWE,Female,15.14,16.37,17.91,18.47,19.28,19.09,18.77,18.41,18.52
